TEAM_NAME,TEAM_ABBREV,PTS_RANK,PTS_PG,REB_RANK,REB_PG,AST_RANK,AST_PG,OPP_PTS_RANK,OPP_PTS_PG,OVR_RANK
Atlanta Hawks,ATL,5,118.3,6,44.7,16,26.6,28,120.5,21
Boston Celtics,BOS,2,120.6,2,46.3,14,26.9,5,109.2,1
Brooklyn Nets,BKN,25,110.4,11,44.1,20,25.6,15,113.3,22
Charlotte Hornets,CHA,28,106.6,30,40.3,26,24.8,22,116.8,27
Chicago Bulls,CHI,22,112.3,14,43.8,23,25,16,113.7,20
Cleveland Cavaliers,CLE,20,112.6,17,43.3,8,28,7,110.2,11
Dallas Mavericks,DAL,7,117.9,21,42.9,19,25.7,20,115.6,6
Denver Nuggets,DEN,14,114.9,7,44.4,3,29.5,6,109.6,3
Detroit Pistons,DET,27,109.9,16,43.3,22,25.5,26,119,30
Golden State Warriors,GSW,8,117.8,1,46.7,4,29.3,18,115.2,18
Houston Rockets,HOU,16,114.3,3,45.5,25,24.8,14,113.2,19
Indiana Pacers,IND,1,123.3,28,41.5,1,30.8,27,120.2,15
Los Angeles Clippers,LAC,12,115.6,19,43,21,25.6,10,112.3,5
Los Angeles Lakers,LAL,6,118,18,43.1,5,28.5,23,117.4,13
Memphis Grizzlies,MEM,30,105.8,24,42.6,27,24.7,12,112.8,24
Miami Heat,MIA,26,110.1,26,42.3,18,25.8,3,108.4,16
Milwaukee Bucks,MIL,4,119,9,44.2,17,26.5,21,116.4,8
Minnesota Timberwolves,MIN,18,113,15,43.6,15,26.6,1,106.5,4
New Orleans Pelicans,NOP,19,112.8,5,45.2,29,24.4,2,108.2,9
New York Knicks,NYK,19,112.8,5,45.2,29,24.4,2,108.2,7
Oklahoma City Thunder,OKC,3,120.1,27,42,11,27.1,11,112.7,2
Orlando Magic,ORL,24,110.5,25,42.3,28,24.7,4,108.4,12
Philadelphia 76ers,PHI,15,114.6,20,43,24,24.9,9,111.5,14
Pheonix Suns,PHX,10,116.2,10,44.1,12,27,13,113.2,10
Portland Trailblazers,POR,29,106.4,22,42.7,30,23.1,19,115.4,28
Sacramento Kings,SAC,9,116.6,12,44,7,28.3,17,114.8,17
San Antonio Spurs,SAS,23,112.1,8,44.2,2,29.9,24,118.6,26
Toronto Raptors,TOR,21,112.4,23,42.7,6,28.5,25,118.8,25
Utah Jazz,UTA,11,115.7,3,45.5,10,27.2,29,120.5,23
Washington Wizards,WAS,17,113.7,29,41.1,9,27.9,30,123,29