TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_NAME,COURT_STATUS,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
GSW,Golden State Warriors,"Curry, Stephen",On,74,43,31,0.581,2421.5383333333334,2225,4600,0.484,782,2001,0.391,825,1029,0.802,576,1734,2310,1500,749.0,336,223,234,968,918,6057,189.0,2,1,13,8,1,1,1,4,1,1,4,1,1,3,1,1,1,1,18,1,1,18,18,1,1,2
GSW,Golden State Warriors,"Garuba, Usman",On,6,5,1,0.833,17.783333333333335,9,30,0.3,2,12,0.167,15,17,0.882,6,11,17,7,7.0,2,4,5,7,9,35,-11.0,17,17,1,1,18,18,18,18,18,18,18,17,17,1,18,18,18,18,2,18,17,2,1,18,18,15
GSW,Golden State Warriors,"Green, Draymond",On,55,33,22,0.6,1490.1833333333334,1390,2848,0.488,473,1191,0.397,458,581,0.788,336,1119,1455,961,456.0,223,151,156,588,552,3711,171.0,11,10,8,7,7,6,7,1,6,7,3,7,7,7,7,6,6,6,13,7,6,13,12,6,6,3
GSW,Golden State Warriors,"Jackson-Davis, Trayce",On,68,39,29,0.574,1130.4516666666666,1031,2153,0.479,318,864,0.368,333,447,0.745,319,801,1120,680,336.0,171,138,121,418,387,2713,32.0,7,6,11,11,10,9,10,6,11,11,10,11,11,17,10,10,10,9,9,9,7,10,8,11,10,9
GSW,Golden State Warriors,"Joseph, Cory",On,26,10,16,0.385,295.8933333333333,264,557,0.474,96,234,0.41,99,137,0.723,80,205,285,171,89.0,40,30,39,134,108,723,-12.0,14,16,6,18,14,14,14,10,14,14,1,14,14,18,14,14,14,14,5,14,14,5,5,14,14,16
GSW,Golden State Warriors,"Kuminga, Jonathan",On,74,40,34,0.541,1949.5133333333333,1786,3669,0.487,563,1485,0.379,635,823,0.772,433,1412,1845,1194,551.0,295,191,205,799,729,4770,125.0,2,5,17,15,4,4,4,2,5,5,8,3,3,13,5,4,4,3,15,3,3,15,16,3,4,4
GSW,Golden State Warriors,"Looney, Kevon",On,74,43,31,0.581,1194.4283333333333,1040,2235,0.465,384,985,0.39,395,496,0.796,326,859,1185,704,360.0,150,94,104,490,457,2859,38.0,2,1,13,8,8,8,8,11,8,8,5,9,9,4,9,8,8,8,11,11,10,8,11,8,8,8
GSW,Golden State Warriors,"Moody, Moses",On,66,38,28,0.576,1155.885,1014,2210,0.459,326,905,0.36,401,517,0.776,332,835,1167,656,342.0,177,106,139,486,438,2755,99.0,8,7,10,10,9,10,9,13,10,10,12,8,8,11,8,9,9,10,10,8,9,11,10,9,9,6
GSW,Golden State Warriors,"Paul, Chris",On,58,33,25,0.569,1530.89,1354,2850,0.475,451,1232,0.366,468,605,0.774,365,1073,1438,924,427.0,239,131,140,646,540,3627,110.0,10,10,9,12,6,7,6,9,7,6,11,6,6,12,6,7,7,7,12,6,8,12,13,7,7,5
GSW,Golden State Warriors,"Payton II, Gary",On,44,27,17,0.614,679.9,612,1282,0.477,213,566,0.376,244,310,0.787,177,472,649,414,208.0,143,74,71,284,261,1681,83.0,12,12,7,6,12,12,12,7,12,12,9,12,12,8,12,12,12,12,7,12,12,7,7,12,12,7
GSW,Golden State Warriors,"Podziemski, Brandin",On,74,41,33,0.554,1968.2533333333333,1822,3763,0.484,593,1539,0.385,606,797,0.76,517,1436,1953,1189,537.0,282,188,211,760,727,4843,264.0,2,3,15,13,3,3,3,3,4,4,7,4,4,16,3,3,3,4,14,4,4,16,14,4,3,1
GSW,Golden State Warriors,"Quinones, Lester",On,37,24,13,0.649,394.455,341,770,0.443,106,331,0.32,133,174,0.764,131,294,425,222,119.0,50,50,43,160,149,921,17.0,13,13,5,5,13,13,13,16,13,13,15,13,13,15,13,13,13,13,6,13,13,6,6,13,13,11
GSW,Golden State Warriors,"Robinson, Jerome",On,22,17,5,0.773,80.71666666666667,71,156,0.455,24,73,0.329,27,34,0.794,28,65,93,48,27.0,10,16,7,28,25,193,27.0,16,14,3,2,16,16,16,15,16,16,14,16,16,5,16,16,16,16,3,16,16,3,3,16,16,10
GSW,Golden State Warriors,"Santos, Gui",On,23,17,6,0.739,192.09,173,380,0.455,48,165,0.291,70,87,0.805,64,155,219,113,57.0,25,26,24,82,74,464,16.0,15,14,4,3,15,15,15,14,15,15,16,15,15,2,15,15,15,15,4,15,15,4,4,15,15,12
GSW,Golden State Warriors,"Saric, Dario",On,64,35,29,0.547,1097.7516666666668,953,2060,0.463,328,927,0.354,374,480,0.779,283,751,1034,642,332.0,161,77,112,450,434,2608,-21.0,9,9,11,14,11,11,11,12,9,9,13,10,10,10,11,11,11,11,8,10,11,9,9,10,11,17
GSW,Golden State Warriors,"Spencer, Pat",On,6,4,2,0.667,25.65,20,50,0.4,4,21,0.19,10,13,0.769,8,13,21,17,5.0,5,4,4,8,11,54,-6.0,17,18,2,4,17,17,17,17,17,17,17,18,18,14,17,17,17,17,1,17,17,1,2,17,17,14
GSW,Golden State Warriors,"Thompson, Klay",On,77,41,36,0.532,2284.1683333333335,2085,4352,0.479,727,1873,0.388,728,928,0.784,544,1588,2132,1420,684.0,311,203,232,898,827,5625,7.0,1,3,18,17,2,2,2,5,2,2,6,2,2,9,2,2,2,2,17,2,2,17,17,2,2,13
GSW,Golden State Warriors,"Wiggins, Andrew",On,71,38,33,0.535,1920.4483333333333,1720,3610,0.476,617,1551,0.398,589,745,0.791,455,1347,1802,1148,584.0,240,179,188,784,709,4646,-58.0,6,7,15,16,5,5,5,8,3,3,2,5,5,6,4,5,5,5,16,5,5,14,15,5,5,18
